name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
Charles Lacy Veach,1984,10,Deceased,9/18/1944,"Chicago, IL",Male,US Air Force Academy,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)"
Terry W. Virts Jr. ,2000,18,Active,12/1/1967,"Baltimore, MD",Male,US Air Force Academy,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)"
James S. Voss,1987,12,Retired,3/3/1949,"Cordova, AL",Male,Auburn University,5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)"
Janice E. Voss,1990,13,Deceased,10/8/1956,"South Bend, IN",Female,Purdue University,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)"
Rex J. Walheim,1996,16,Active,10/10/1962,"Redwood, CA",Male,University of California-Berkeley,3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)"
Charles D. Walker,1984,10,Retired,8/29/1948,"Bedford, IN",Male,Purdue University,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)"
David M. Walker,1978,8,Deceased,5/20/1944,"Columbus, GA",Male,US Naval Academy,4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)"
Shannon Walker,2004,19,Active,6/4/1965,"Houston, TX",Female,Rice University,1,3919,0,0,ISS-24/25 (Soyuz)
Carl E. Walz,1990,13,Retired,9/6/1955,"Cleveland, OH",Male,Kent State University,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)"
Taylor G. Wang,1985,11,Retired,6/16/1940,"Jiangxi, China",Male,University of California at Los Angeles,1,168,0,0,STS 51-B (Challenger)
Mary E. Weber,1992,14,Retired,8/24/1962,"Cleveland, OH",Female,Purdue University,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)"
Paul J. Weitz,1966,5,Retired,6/25/1932,"Erie, PA",Male,Pennsylvania State University,2,793,1,2,"Skylab 2, STS-6 (Challenger)"
James D. Wetherbee,1984,10,Retired,11/27/1952,"Flushing, NY",Male,University of Notre Dame,6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)"
Douglas H. Wheelock,1998,17,Active,5/5/1960,"Binghamton, NY",Male,US Military Academy,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)"
Edward H. White II ,1962,2,Deceased,11/14/1930,"San Antonio, TX",Male,US Military Academy,2,97,1,1,"Gemini 4, Apollo 1"
Peggy A. Whitson,1996,16,Active,2/9/1960,"Mt. Ayr, IA",Female,Iowa Wesleyan College,3,11698,7,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)"
Terrence W. Wilcutt,1990,13,Management,10/31/1949,"Russellville, KY",Male,Western Kentucky University,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)"
Clifton C. Williams Jr. ,1963,3,Deceased,9/26/1932,"Mobile, AL",Male,Auburn University,0,0,0,0,
Donald E. Williams,1978,8,Retired,2/13/1958,"Lafayette, IN",Male,Purdue University,2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)"
Jeffrey N. Williams,1996,16,Active,1/18/1958,"Superior, WI",Male,US Military Academy,4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)"
Sunita L. Williams,1998,17,Active,9/19/1965,"Euclid, OH",Female,US Naval Academy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)"
Barry E. Wilmore,2000,18,Active,12/29/1962,"Murfreesboro, TN",Male,Tennessee Technological University,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)"
Stephanie D. Wilson,1996,16,Active,9/27/1966,"Boston, MA",Female,Harvard University,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)"
G. Reid Wiseman,2009,20,Active,11/11/1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute,1,3968,2,13,ISS-40/41 (Soyuz)
Peter J. K. Wisoff,1990,13,Retired,8/16/1958,"Norfolk, VA",Male,University of Virginia,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)"
David A. Wolf,1990,13,Retired,8/23/1956,"Indianapolis, IN",Male,Purdue University,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)"
Neil W. Woodward III ,1998,17,Retired,7/26/1962,"Chicago, IL",Male,MIT,0,0,0,0,
Alfred M. Worden,1966,5,Retired,2/7/1932,"Jackson, MI",Male,US Military Academy,1,295,1,1,Apollo 15
John W. Young,1962,2,Retired,9/24/1930,"San Francisco, CA",Male,Georgia Institute of Technology,6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)"
George D. Zamka,1998,17,Retired,6/29/1962,"Jersey City, NJ",Male,US Naval Academy,2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)"
